Picture,DistortionType,DistortionValue,Filename,Method,Value
Hotdog,Dilation,9.0,Hotdog_dilation_9.png,PSNR,20.824425438266452
Hotdog,Hole,0.0,Hotdog_hole_0.bmp,LPIPS,0.0
Hotdog,Hole,0.0,Hotdog_hole_0.bmp,SSIM,1.0
Hotdog,Hole,0.0,Hotdog_hole_0.bmp,PSNR,inf
Hotdog,Hole,0.05,Hotdog_hole_0_05.png,LPIPS,0.025226423516869545
Hotdog,Hole,0.05,Hotdog_hole_0_05.png,SSIM,0.9962108366761188
Hotdog,Hole,0.05,Hotdog_hole_0_05.png,PSNR,28.318728811185064
Hotdog,Hole,0.1,Hotdog_hole_0_1.png,LPIPS,0.035591088235378265
Hotdog,Hole,0.1,Hotdog_hole_0_1.png,SSIM,0.9852554036814744
Hotdog,Hole,0.1,Hotdog_hole_0_1.png,PSNR,22.49617463884285
Hotdog,Hole,0.15,Hotdog_hole_0_15.png,LPIPS,0.04357554018497467
Hotdog,Hole,0.15,Hotdog_hole_0_15.png,SSIM,0.9672814200921541
Hotdog,Hole,0.15,Hotdog_hole_0_15.png,PSNR,19.6118631377908
Hotdog,Hole,0.2,Hotdog_hole_0_2.png,LPIPS,0.06351612508296967
Hotdog,Hole,0.2,Hotdog_hole_0_2.png,SSIM,0.9419706203405726
Hotdog,Hole,0.2,Hotdog_hole_0_2.png,PSNR,17.86192865737066
Hotdog,Hole,0.3,Hotdog_hole_0_3.png,LPIPS,0.15204735100269318
Hotdog,Hole,0.3,Hotdog_hole_0_3.png,SSIM,0.870156123539597
Hotdog,Hole,0.3,Hotdog_hole_0_3.png,PSNR,14.211892390502225
Hotdog,Hole,0.4,Hotdog_hole_0_4.png,LPIPS,0.2664884924888611
Hotdog,Hole,0.4,Hotdog_hole_0_4.png,SSIM,0.7697497222853755
Hotdog,Hole,0.4,Hotdog_hole_0_4.png,PSNR,11.391537741242352
Hotdog,Hole,0.5,Hotdog_hole_0_5.png,LPIPS,0.35626280307769775
Hotdog,Hole,0.5,Hotdog_hole_0_5.png,SSIM,0.6412365138728798
Hotdog,Hole,0.5,Hotdog_hole_0_5.png,PSNR,9.65519262639682
Hotdog,Hole,0.6,Hotdog_hole_0_6.png,LPIPS,0.4643781781196594
Hotdog,Hole,0.6,Hotdog_hole_0_6.png,SSIM,0.5266062432190416
Hotdog,Hole,0.6,Hotdog_hole_0_6.png,PSNR,8.389804787413365
Hotdog,Hole,0.8,Hotdog_hole_0_8.png,LPIPS,0.7144023180007935
Hotdog,Hole,0.8,Hotdog_hole_0_8.png,SSIM,0.3293416262394277
Hotdog,Hole,0.8,Hotdog_hole_0_8.png,PSNR,6.828492529219867
Hotdog,Hole,1.0,Hotdog_hole_1.png,LPIPS,0.9075888991355896
Hotdog,Hole,1.0,Hotdog_hole_1.png,SSIM,0.14167252967082997
Hotdog,Hole,1.0,Hotdog_hole_1.png,PSNR,5.778567942531786
Hotdog,Noise,0.0,Hotdog_noise_0.bmp,LPIPS,0.0
Hotdog,Noise,0.0,Hotdog_noise_0.bmp,SSIM,1.0
Hotdog,Noise,0.0,Hotdog_noise_0.bmp,PSNR,inf
Hotdog,Noise,0.01,Hotdog_noise_0_01.png,LPIPS,0.00013780861627310514
Hotdog,Noise,0.01,Hotdog_noise_0_01.png,SSIM,0.9966826179472807
Hotdog,Noise,0.01,Hotdog_noise_0_01.png,PSNR,51.17471351683672
Hotdog,Noise,0.05,Hotdog_noise_0_05.png,LPIPS,0.00014124091831035912
Hotdog,Noise,0.05,Hotdog_noise_0_05.png,SSIM,0.99668304691608
Hotdog,Noise,0.05,Hotdog_noise_0_05.png,PSNR,51.173163201745524
Hotdog,Noise,0.1,Hotdog_noise_0_1.png,LPIPS,0.00014274708519224077
Hotdog,Noise,0.1,Hotdog_noise_0_1.png,SSIM,0.9966821729916152
Hotdog,Noise,0.1,Hotdog_noise_0_1.png,PSNR,51.17162763073256
Hotdog,Noise,0.25,Hotdog_noise_0_25.png,LPIPS,0.0001350707170786336
Hotdog,Noise,0.25,Hotdog_noise_0_25.png,SSIM,0.9966809209885624
Hotdog,Noise,0.25,Hotdog_noise_0_25.png,PSNR,51.172817526242795
Hotdog,Noise,0.5,Hotdog_noise_0_5.png,LPIPS,0.00014020783419255167
Hotdog,Noise,0.5,Hotdog_noise_0_5.png,SSIM,0.9955683253266869
Hotdog,Noise,0.5,Hotdog_noise_0_5.png,PSNR,50.4437893837799
Hotdog,Noise,0.8,Hotdog_noise_0_8.png,LPIPS,0.00013408985978458077
Hotdog,Noise,0.8,Hotdog_noise_0_8.png,SSIM,0.9909326517645329
Hotdog,Noise,0.8,Hotdog_noise_0_8.png,PSNR,48.282014161708176
Hotdog,Rotate,0.0,Hotdog_rotate_0.bmp,LPIPS,0.0
Hotdog,Rotate,0.0,Hotdog_rotate_0.bmp,SSIM,1.0
Hotdog,Rotate,0.0,Hotdog_rotate_0.bmp,PSNR,inf
Hotdog,Rotate,1.0,Hotdog_rotate_1.png,LPIPS,0.07702858746051788
Hotdog,Rotate,1.0,Hotdog_rotate_1.png,SSIM,0.7205920770741702
Hotdog,Rotate,1.0,Hotdog_rotate_1.png,PSNR,19.994861504765346
Hotdog,Rotate,10.0,Hotdog_rotate_10.png,LPIPS,0.4212084710597992
Hotdog,Rotate,10.0,Hotdog_rotate_10.png,SSIM,0.5800281126664416
Hotdog,Rotate,10.0,Hotdog_rotate_10.png,PSNR,12.116978114264743
Hotdog,Rotate,2.0,Hotdog_rotate_2.png,LPIPS,0.1248500645160675
Hotdog,Rotate,2.0,Hotdog_rotate_2.png,SSIM,0.688755596481645
Hotdog,Rotate,2.0,Hotdog_rotate_2.png,PSNR,17.419180847446427
Hotdog,Rotate,20.0,Hotdog_rotate_20.png,LPIPS,0.5488475561141968
Hotdog,Rotate,20.0,Hotdog_rotate_20.png,SSIM,0.49407134912222644
Hotdog,Rotate,20.0,Hotdog_rotate_20.png,PSNR,9.964784408946134
Hotdog,Rotate,30.0,Hotdog_rotate_30.png,LPIPS,0.6166298389434814
Hotdog,Rotate,30.0,Hotdog_rotate_30.png,SSIM,0.43103265870954366
Hotdog,Rotate,30.0,Hotdog_rotate_30.png,PSNR,8.877701801183559
Hotdog,Rotate,40.0,Hotdog_rotate_40.png,LPIPS,0.6612746715545654
Hotdog,Rotate,40.0,Hotdog_rotate_40.png,SSIM,0.37392366403324395
Hotdog,Rotate,40.0,Hotdog_rotate_40.png,PSNR,8.042982982119952
